REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL
Ohio,2010,50,0.446457,69
Oklahoma,2010,50,3.40386,111
Oregon,2010,50,1.39498,35
Pennsylvania,2010,50,1.35668,196
Rhode Island,2010,50,0.468165,30
South Carolina,2010,50,0.804237,41
South Dakota,2010,50,0.945846,51
Tennessee,2010,50,1.37845,121
Texas,2010,50,2.84097,1350
Utah,2010,50,1.1154,78
Vermont,2010,50,1.34553,50
Virginia,2010,50,1.75344,945
Washington,2010,50,0.647549,14
West Virginia,2010,50,1.41603,121
Wisconsin,2010,50,0.661686,31
Wyoming,2010,50,0.311785,15
New York City,2010,50,3.28095,3113
Alabama,2010,51,13.0878,1297
Alaska,2010,51,0.852273,15
Arizona,2010,51,2.3027,454
Arkansas,2010,51,3.61163,77
California,2010,51,4.62077,1057
Colorado,2010,51,0.833503,123
Connecticut,2010,51,0.873563,19
Delaware,2010,51,0.504267,13
District of Columbia,2010,51,5.76822,110
Florida,2010,51,X,X
Georgia,2010,51,7.27884,2489
Hawaii,2010,51,2.21704,19
Idaho,2010,51,3.20553,102
Illinois,2010,51,3.09033,1039
Indiana,2010,51,1.36295,100
Iowa,2010,51,2.07254,44
Kansas,2010,51,0.968867,75
Kentucky,2010,51,1.2874,148
Louisiana,2010,51,3.82638,588
Maine,2010,51,0.59952,25
Maryland,2010,51,2.738,174
Massachusetts,2010,51,1.30649,268
Michigan,2010,51,0.683919,74
Minnesota,2010,51,1.0122,39
Mississippi,2010,51,10.8166,1775
Missouri,2010,51,2.34292,154
Montana,2010,51,0.062422,1
Nebraska,2010,51,2.22063,62
Nevada,2010,51,3.46784,495
New Hampshire,2010,51,0.243309,10
New Jersey,2010,51,4.6438,264
New Mexico,2010,51,3.41176,232
New York,2010,51,3.84844,388
North Carolina,2010,51,0.944729,107
North Dakota,2010,51,0.275672,4
Ohio,2010,51,0.598156,72
Oklahoma,2010,51,4.09441,85
Oregon,2010,51,2.06037,43
Pennsylvania,2010,51,2.00375,214
Rhode Island,2010,51,0.854701,38
South Carolina,2010,51,0.799381,31
South Dakota,2010,51,1.51849,69
Tennessee,2010,51,2.36079,145
Texas,2010,51,3.87315,1418
Utah,2010,51,1.10739,43
Vermont,2010,51,1.51873,45
Virginia,2010,51,2.19585,1260
Washington,2010,51,0.387097,6
West Virginia,2010,51,1.19637,87
Wisconsin,2010,51,0.693594,17
Wyoming,2010,51,1.63244,62
New York City,2010,51,4.26261,3819
Alabama,2010,52,11.6592,1274
Alaska,2010,52,1.13086,21
Arizona,2010,52,1.51649,344
Arkansas,2010,52,2.5771,61
California,2010,52,4.6895,916
Colorado,2010,52,1.06009,160
Connecticut,2010,52,0.853578,13
Delaware,2010,52,0.508974,19
District of Columbia,2010,52,6.84746,101
Florida,2010,52,X,X
Georgia,2010,52,6.06827,2064
Hawaii,2010,52,3.34378,32
Idaho,2010,52,2.59815,90
Illinois,2010,52,3.55156,1251
Indiana,2010,52,1.7327,136
Iowa,2010,52,1.45606,28
Kansas,2010,52,1.36456,81
Kentucky,2010,52,0.954144,134
Louisiana,2010,52,5.63071,1307
Maine,2010,52,0.644828,25
Maryland,2010,52,3.6845,199
Massachusetts,2010,52,1.4601,258
Michigan,2010,52,0.899631,83
Minnesota,2010,52,1.10533,34
Mississippi,2010,52,9.03389,1570
Missouri,2010,52,2.68029,181
Montana,2010,52,0.234926,3
Nebraska,2010,52,3.82883,85
Nevada,2010,52,3.88664,624
New Hampshire,2010,52,0.266046,8
New Jersey,2010,52,4.91358,199
New Mexico,2010,52,3.87493,259
New York,2010,52,4.19925,349
North Carolina,2010,52,1.58986,158
North Dakota,2010,52,0,0
Ohio,2010,52,0.721306,80
Oklahoma,2010,52,4.9101,142
Oregon,2010,52,2.29709,45
Pennsylvania,2010,52,2.38516,243
Rhode Island,2010,52,1.28881,44
South Carolina,2010,52,1.17429,57
South Dakota,2010,52,1.52446,67
Tennessee,2010,52,2.74332,188
Texas,2010,52,3.40711,1293
Utah,2010,52,1.09006,42
Vermont,2010,52,1.81087,63
Virginia,2010,52,2.3964,1466
Washington,2010,52,2.45902,30
West Virginia,2010,52,1.41386,103
Wisconsin,2010,52,1.38822,29
Wyoming,2010,52,1.46377,60
New York City,2010,52,4.39746,3625
Alabama,2011,1,9.73755,1191
Alaska,2011,1,0.592593,12
Arizona,2011,1,1.59667,411
Arkansas,2011,1,3.36738,122
California,2011,1,3.56213,1190
Colorado,2011,1,0.919508,199
Connecticut,2011,1,0.923191,25
Delaware,2011,1,0.783904,30
District of Columbia,2011,1,4.75874,143
Florida,2011,1,X,X
Georgia,2011,1,4.82214,1723
Hawaii,2011,1,2.44275,48
Idaho,2011,1,2.03906,95
Illinois,2011,1,2.99071,1172
Indiana,2011,1,1.75182,168
Iowa,2011,1,0.579065,13
Kansas,2011,1,1.05792,101
Kentucky,2011,1,1.27095,135
Louisiana,2011,1,4.38839,922
Maine,2011,1,0.509198,31
Maryland,2011,1,2.27061,219
Massachusetts,2011,1,1.17914,328
Michigan,2011,1,0.687039,96
Minnesota,2011,1,1.37079,61
Mississippi,2011,1,6.75844,1139
Missouri,2011,1,2.12687,173
Montana,2011,1,0,0
Nebraska,2011,1,3.00619,102
Nevada,2011,1,3.08241,588
New Hampshire,2011,1,0.328757,17
New Jersey,2011,1,3.95271,224
New Mexico,2011,1,2.95452,241
New York,2011,1,2.87699,352
North Carolina,2011,1,1.5266,289
North Dakota,2011,1,0.264901,4
Ohio,2011,1,0.914853,153
Oklahoma,2011,1,3.02847,100
Oregon,2011,1,1.22262,48
Pennsylvania,2011,1,2.10846,257
Rhode Island,2011,1,0.588452,32
South Carolina,2011,1,1.45963,94
South Dakota,2011,1,1.40617,78
Tennessee,2011,1,1.69993,178
Texas,2011,1,3.21248,1524
Utah,2011,1,0.519955,37
Vermont,2011,1,1.77179,75
Virginia,2011,1,2.48912,1596
Washington,2011,1,1.5224,35
West Virginia,2011,1,1.24516,135
Wisconsin,2011,1,0.801901,27
Wyoming,2011,1,0.806285,39
New York City,2011,1,3.31107,3297
Alabama,2011,2,11.944,1195
Alaska,2011,2,1.48227,28
Arizona,2011,2,1.71146,447
Arkansas,2011,2,4.84672,166
California,2011,2,3.79325,1354
Colorado,2011,2,1.01411,202
Connecticut,2011,2,1.04648,34
Delaware,2011,2,2.53041,104
District of Columbia,2011,2,4.8618,146
Florida,2011,2,X,X
Georgia,2011,2,4.11148,1133
Hawaii,2011,2,2.01871,41
Idaho,2011,2,2.25623,115
Illinois,2011,2,3.28357,1280
Indiana,2011,2,2.40376,256
Iowa,2011,2,0.459117,21
Kansas,2011,2,1.06197,79
Kentucky,2011,2,0.710557,98
Louisiana,2011,2,5.7204,989
Maine,2011,2,0.471204,27
Maryland,2011,2,2.36271,219
Massachusetts,2011,2,1.69167,407
Michigan,2011,2,0.833662,127
Minnesota,2011,2,1.06915,47
Mississippi,2011,2,5.94459,899
Missouri,2011,2,2.35408,194
Montana,2011,2,0.221926,5
Nebraska,2011,2,2.95939,86
Nevada,2011,2,3.31421,618
New Hampshire,2011,2,0.231774,11
New Jersey,2011,2,4.97268,273
New Mexico,2011,2,2.89821,250
New York,2011,2,3.45107,383
North Carolina,2011,2,2.53445,469
North Dakota,2011,2,0.118133,2
Ohio,2011,2,1.17144,189
Oklahoma,2011,2,5.76184,180
Oregon,2011,2,1.64506,66
Pennsylvania,2011,2,2.3239,322
Rhode Island,2011,2,0.415937,19
South Carolina,2011,2,2.46609,140
South Dakota,2011,2,1.7554,91
Tennessee,2011,2,2.72602,237
Texas,2011,2,4.05996,1950
Utah,2011,2,2.5974,58
Vermont,2011,2,1.48631,57
Virginia,2011,2,2.81105,1835
Washington,2011,2,1.21906,33
West Virginia,2011,2,1.2586,128
Wisconsin,2011,2,0.842289,29
Wyoming,2011,2,1.06561,51
New York City,2011,2,3.17028,2840
Alabama,2011,3,13.1063,1624
Alaska,2011,3,1.66821,36
Arizona,2011,3,2.38773,604
Arkansas,2011,3,6.77669,271
California,2011,3,4.02689,1324
Colorado,2011,3,1.14098,236
Connecticut,2011,3,1.18359,43
Delaware,2011,3,1.98627,81
